point;height;pattern;mean;std;samples
1;8.7;18;-60.894000000000005;2.3526006885997486;5
1;13.7;26;-76.202;0.8308850702714599;5
2;8.7;2;-59.694;2.1977329228093225;5
2;13.7;8;-67.876;0.3084315158993925;5
3;8.7;17;-55.574;0.8667929395190076;5
3;13.7;8;-73.11;1.504376947443697;5
4;8.7;17;-62.3125;2.1042714495362356;4
4;13.7;6;-68.912;0.9923809752307836;5
5;8.7;2;-53.04600000000001;1.2324082115922483;5
5;13.7;2;-57.970000000000006;1.0703504099125674;5
6;8.7;17;-59.029999999999994;1.8521743978362348;5
6;13.7;17;-68.20857142857143;1.233550817375436;7
7;8.7;17;-68.244;1.0381136739297894;5
7;13.7;5;-74.342;0.6892894892568721;5
8;8.7;6;-65.804;0.5842345419435655;5
8;13.7;13;-65.87;0.2454587541726716;5
9;8.7;7;-73.114;1.8876519806362588;5
9;13.7;6;-70.0;1.1681894823472228;7
